NetSiteAbbrev,County,UTCTimestampCollected,TAIR,DWPT,PRCP,PRES,RELH,SRAD,WDIR,WSPD,VT05,SM02,SM04,VT20,VT90,VR05,VR20,VR90
Station ID,Station County,Timestamp,Air Temperature (°C),Dewpoint (°C),Precipitation (mm),Pressure (mb),Relative Humidity (%),Solar Radiation (W/m²),Wind Direction (degrees),Wind Speed (m/s),Air Temperature at 0.5 meters (°C),Soil Moisture at 2 in. (%),Soil Moisture at 4 in. (%),Air Temperature at 2.0 meters (°C),Air Temperature at 9.0 meters (°C),Relative Humidity at 0.5 meters (%),Relative Humidity at 2.0 meters (%),Relative Humidity At 9.0 meters (%)
MQDY,Breckinridge,2018-01-01 00:00:00,-10.2535,-16.0198,0.0,,62.71,0.0,339.3,3.158,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:05:00,-10.3457,-15.6696,0.0,,65.03,0.0,343.7,2.416,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:10:00,-10.2835,-16.0004,0.0,,62.96,0.0,338.1,2.844,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:15:00,-10.3283,-15.5568,0.0,,65.55,0.0,337.0,2.595,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:20:00,-10.3151,-15.3555,0.0,,66.58,0.0,337.1,2.854,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:25:00,-10.3547,-15.3698,0.0,,66.71,0.0,330.2,2.417,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:30:00,-10.3933,-15.4978,0.0,,66.21,0.0,333.1,3.076,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:35:00,-10.5078,-15.4099,0.0,,67.3,0.0,333.9,3.388,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:40:00,-10.6464,-15.464,0.0,,67.74,0.0,333.7,2.84,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:45:00,-10.7727,-15.4839,0.0,,68.31,0.0,334.8,3.01,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:50:00,-10.8539,-15.6044,0.0,,68.07,0.0,334.1,3.386,,,,,,,,
MQDY,Breckinridge,2018-01-01 00:55:00,-10.8052,-15.3287,0.0,,69.37,0.0,338.5,2.94,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:00:00,-10.7785,-15.3713,0.0,,68.98,0.0,341.2,3.42,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:05:00,-10.7762,-15.2034,0.0,,69.93,0.0,333.2,3.836,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:10:00,-10.7794,-15.3232,0.0,,69.26,0.0,342.7,3.707,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:15:00,-10.757,-15.437,0.0,,68.49,0.0,338.8,4.227,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:20:00,-10.7679,-15.3611,0.0,,68.98,0.0,346.0,2.874,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:25:00,-10.7962,-15.2817,0.0,,69.59,0.0,341.4,3.109,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:30:00,-10.7995,-15.2553,0.0,,69.76,0.0,340.5,3.787,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:35:00,-10.7533,-14.8473,0.0,,71.88,0.0,342.7,3.064,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:40:00,-10.7907,-14.8428,0.0,,72.12,0.0,348.7,3.242,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:45:00,-10.7899,-14.7916,0.0,,72.42,0.0,333.9,3.913,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:50:00,-10.7985,-14.7629,0.0,,72.64,0.0,337.3,3.21,,,,,,,,
MQDY,Breckinridge,2018-01-01 01:55:00,-10.8166,-14.9847,0.0,,71.43,0.0,338.5,4.202,,,,,,,,
MQDY,Breckinridge,2018-01-01 02:00:00,-10.819,-14.9581,0.0,,71.6,0.0,343.8,3.355,,,,,,,,
MQDY,Breckinridge,2018-01-01 02:05:00,-10.8049,-14.9786,0.0,,71.4,0.0,345.3,3.233,,,,,,,,
MQDY,Breckinridge,2018-01-01 02:10:00,-10.841,-14.7739,0.0,,72.82,0.0,347.5,4.016,,,,,,,,
MQDY,Breckinridge,2018-01-01 02:15:00,-10.8521,-14.9039,0.0,,72.11,0.0,354.2,3.328,,,,,,,,
MQDY,Breckinridge,2018-01-01 02:20:00,-10.856,-14.8975,0.0,,72.17,0.0,346.6,3.454,,,,,,,,
MQDY,Breckinridge,2018-01-01 02:25:00,-10.898,-15.0073,0.0,,71.76,0.0,344.2,3.873,,,,,,,,
MQDY,Breckinridge,2018-01-01 02:30:00,-10.965,-14.9759,0.0,,72.33,0.0,346.8,3.789,,,,,,,,
