NetSiteAbbrev,County,UTCTimestampCollected,TAIR,DWPT,PRCP,PRES,RELH,SRAD,WDIR,WSPD,VT05,SM02,SM04,VT20,VT90,VR05,VR20,VR90
Station ID,Station County,Timestamp,Air Temperature (°C),Dewpoint (°C),Precipitation (mm),Pressure (mb),Relative Humidity (%),Solar Radiation (W/m²),Wind Direction (degrees),Wind Speed (m/s),Air Temperature at 0.5 meters (°C),Soil Moisture at 2 in. (%),Soil Moisture at 4 in. (%),Air Temperature at 2.0 meters (°C),Air Temperature at 9.0 meters (°C),Relative Humidity at 0.5 meters (%),Relative Humidity at 2.0 meters (%),Relative Humidity At 9.0 meters (%)
PSPG,Warren,2018-01-01 00:00:00,-8.71174,-16.1876,0.0,,54.79,0.0,321.7,2.826,,,,,,,,
PSPG,Warren,2018-01-01 00:05:00,-8.81167,-16.1656,0.0,,55.32,0.0,322.5,2.429,,,,,,,,
PSPG,Warren,2018-01-01 00:10:00,-8.79082,-16.2464,0.0,,54.86,0.0,326.1,2.731,,,,,,,,
PSPG,Warren,2018-01-01 00:15:00,-8.87411,-16.3223,0.0,,54.87,0.0,327.6,2.711,,,,,,,,
PSPG,Warren,2018-01-01 00:20:00,-8.95762,-16.2896,0.0,,55.38,0.0,326.6,2.739,,,,,,,,
PSPG,Warren,2018-01-01 00:25:00,-9.00381,-16.3546,0.0,,55.28,0.0,327.1,2.803,,,,,,,,
PSPG,Warren,2018-01-01 00:30:00,-9.04657,-16.3861,0.0,,55.32,0.0,329.4,3.16,,,,,,,,
PSPG,Warren,2018-01-01 00:35:00,-9.0656,-16.3628,0.0,,55.51,0.0,327.6,3.182,,,,,,,,
PSPG,Warren,2018-01-01 00:40:00,-9.18834,-16.3619,0.0,,56.05,0.0,331.1,2.573,,,,,,,,
PSPG,Warren,2018-01-01 00:45:00,-9.25665,-16.2497,0.0,,56.88,0.0,325.7,2.683,,,,,,,,
PSPG,Warren,2018-01-01 00:50:00,-9.38255,-16.2925,0.0,,57.24,0.0,321.3,2.951,,,,,,,,
